YEAR,PROVINCE,DISTRIC,SEX,VALUE,UNIT,SOURCE
2564,กรุงเทพมหานคร,เขตบางกะปิ,ชาย,64756.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตปทุมวัน,ชาย,19596.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,ชาย,19672.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตพระโขนง,ชาย,39143.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตมีนบุรี,ชาย,66632.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตลาดกระบัง,ชาย,84621.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตยานนาวา,ชาย,34827.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตสัมพันธวงศ์,ชาย,10065.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตพญาไท,ชาย,32448.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตธนบุรี,ชาย,47330.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตบางกอกใหญ่,ชาย,29283.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตห้วยขวาง,ชาย,37246.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตคลองสาน,ชาย,31176.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตตลิ่งชัน,ชาย,47806.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
